# program=RunicWorldGame.exe functions=27733 matched=408
FUN_0097 | FUN_00977640 @ 00977640 size=257
FUN_0097 | FUN_00977750 @ 00977750 size=97
FUN_0097 | FUN_009777c0 @ 009777c0 size=273
FUN_0097 | FUN_009778e0 @ 009778e0 size=114
FUN_0097 | FUN_00977960 @ 00977960 size=70
FUN_0097 | FUN_009779b0 @ 009779b0 size=92
FUN_0097 | FUN_00977a10 @ 00977a10 size=88
FUN_0097 | FUN_00977a70 @ 00977a70 size=369
FUN_0097 | FUN_00977bf0 @ 00977bf0 size=117
FUN_0097 | FUN_00977c70 @ 00977c70 size=23
FUN_0097 | FUN_00977c90 @ 00977c90 size=18
FUN_0097 | FUN_00977cb0 @ 00977cb0 size=23
FUN_0097 | FUN_00977cd0 @ 00977cd0 size=18
FUN_0097 | FUN_00977cf0 @ 00977cf0 size=23
FUN_0097 | FUN_00977d10 @ 00977d10 size=18
FUN_0097 | FUN_00977d30 @ 00977d30 size=417
FUN_0097 | FUN_00977ee0 @ 00977ee0 size=114
FUN_0097 | FUN_00977f60 @ 00977f60 size=224
FUN_0097 | FUN_00978040 @ 00978040 size=141
FUN_0097 | FUN_009780d0 @ 009780d0 size=117
FUN_0097 | FUN_00978150 @ 00978150 size=117
FUN_0097 | FUN_009781d0 @ 009781d0 size=144
FUN_0097 | FUN_00978260 @ 00978260 size=122
FUN_0097 | FUN_009782e0 @ 009782e0 size=62
FUN_0097 | FUN_00978320 @ 00978320 size=62
FUN_0097 | FUN_00978360 @ 00978360 size=73
FUN_0097 | FUN_009783b0 @ 009783b0 size=75
FUN_0097 | FUN_00978400 @ 00978400 size=25
FUN_0097 | FUN_00978420 @ 00978420 size=86
FUN_0097 | FUN_00978480 @ 00978480 size=86
FUN_0097 | FUN_009784e0 @ 009784e0 size=96
FUN_0097 | FUN_009785a0 @ 009785a0 size=45
FUN_0097 | FUN_009785d0 @ 009785d0 size=57
FUN_0097 | FUN_00978610 @ 00978610 size=151
FUN_0097 | FUN_009786b0 @ 009786b0 size=98
FUN_0097 | FUN_00978720 @ 00978720 size=9
FUN_0097 | FUN_00978730 @ 00978730 size=9
FUN_0097 | FUN_00978740 @ 00978740 size=9
FUN_0097 | FUN_00978760 @ 00978760 size=408
FUN_0097 | FUN_00978900 @ 00978900 size=79
FUN_0097 | FUN_00978950 @ 00978950 size=87
FUN_0097 | FUN_009789b0 @ 009789b0 size=77
FUN_0097 | FUN_00978a10 @ 00978a10 size=139
FUN_0097 | FUN_00978aa0 @ 00978aa0 size=43
FUN_0097 | FUN_00978ad0 @ 00978ad0 size=92
FUN_0097 | FUN_00978b30 @ 00978b30 size=64
FUN_0097 | FUN_00978b70 @ 00978b70 size=104
FUN_0097 | FUN_00978be0 @ 00978be0 size=7
FUN_0097 | FUN_00978bf0 @ 00978bf0 size=68
